FirstName,SecondName,4-LetterCode
Green-fronted,Hummingbird,GFHU
Green-fronted,Lancebill,GFRL
Green-naped,Tanager,GNTA
Green-rumped,Parrotlet,GRUP
Green-striped,Brushfinch,GSBR
Green-tailed,Towhee,GTTO
Green-tailed,Warbler,GTWA
Green-throated,Carib,GTCA
Green-throated,Mountain-gem,GTMG
Green-winged,Teal,GWTE
Greenish,Elaenia,GREL
Greenish,Puffleg,GRPU
Grenada,Dove,GRDO
Grenada,Flycatcher,GFLY
Groove-billed,Ani,GBAN
Guadalupe,Caracara,GUCA
Guadalupe,Junco,GUJU
Guadalupe,Murrelet,GUMU
Guadalupe,Storm-Petrel,GUSP
Guadeloupe,Woodpecker,GUWO
Gull-billed,Tern,GBTE
Gundlach's,Hawk,GUHA
Gunnison,Sage-Grouse,GUSG
Gyrfalcon,,GYRF
Hairy,Woodpecker,HAWO
Hammond's,Flycatcher,HAFL
Happy,Wren,HAWR
Harlequin,Duck,HADU
Harpy,Eagle,HAEA
Harris's,Hawk,HASH
Harris's,Sparrow,HASP
Hawaii,Akepa,HAAK
Hawaii,Amakihi,HAAM
Hawaii,Creeper,HCRE
Hawaii,Elepaio,HAEL
Hawaii,Mamo,HAMA
Hawaii,Oo,HAOO
Hawaiian,Coot,HACO
Hawaiian,Crow,HCRO
Hawaiian,Duck,HAWD
Hawaiian,Goose,HAGO
Hawaiian,Hawk,HAWH
Hawaiian,Petrel,HAPE
Hawaiian,Rail,HARA
Hawfinch,,HAWF
Heermann's,Gull,HEEG
Helmeted,Guineafowl,HELG
Henslow's,Sparrow,HESP
Hepatic,Tanager,HETA
Herald,Petrel,HEPE
Hermit,Thrush,HETH
Hermit,Warbler,HEWA
Herring,Gull,HERG
Highland,Guan,HIGU
Highland,Tinamou,HITI
Himalayan,Snowcock,HISN
Hispaniolan,Crossbill,HICR
Hispaniolan,Emerald,HIEM
Hispaniolan,Lizard-Cuckoo,HILC
Hispaniolan,Oriole,HIOR
Hispaniolan,Parakeet,HPAK
Hispaniolan,Parrot,HPAT
Hispaniolan,Pewee,HIPE
Hispaniolan,Spindalis,HISP
Hispaniolan,Trogon,HITR
Hispaniolan,Woodpecker,HIWO
Hoary,Redpoll,HORE
Hoffmann's,Woodpecker,HOWO
Honduran,Emerald,HOEM
Hooded,Crow,HOCR
Hooded,Grosbeak,HOOG
Hooded,Merganser,HOME
Hooded,Oriole,HOOR
Hooded,Warbler,HOWA
Hooded,Yellowthroat,HOYE
Hook-billed,Kite,HBKI
Horned,Grebe,HOGR
Horned,Guan,HOGU
Horned,Lark,HOLA
Horned,Puffin,HOPU
House,Finch,HOFI
House,Sparrow,HOSP
House,Wren,HOWR
Hudsonian,Godwit,HUGO
Humboldt's,Sapphire,HUSA
Hutton's,Vireo,HUVI
Hwamei,,HWAM
Iceland,Gull,ICGU
Iiwi,,IIWI
Imperial,Parrot,IMPA
Imperial,Woodpecker,IMWO
Inagua,Woodstar,INWO
Inca,Dove,INDO
Inca,Tern,INTE
Indian,Peafowl,INPE
Indian,Silverbill,INSI
Indigo,Bunting,INBU
Intermediate,Egret,INEG
Island,Canary,ISCA
Island,Scrub-Jay,ISSJ
Isthmian,Wren,ISWR
Ivory,Gull,IVGU
Ivory-billed,Woodcreeper,IBIW
Ivory-billed,Woodpecker,IBWO
Jabiru,,JABI
Jack,Snipe,JASN
Jamaican,Becard,JABE
Jamaican,Blackbird,JABL
Jamaican,Crow,JACR
Jamaican,Elaenia,JAEL
Jamaican,Euphonia,JAEU
Jamaican,Lizard-Cuckoo,JALC
Jamaican,Mango,JAMA
Jamaican,Oriole,JAOR
Jamaican,Owl,JAOW
Jamaican,Pauraque,JAPA
Jamaican,Pewee,JAPE
Jamaican,Spindalis,JAMS
Jamaican,Tody,JATO
Jamaican,Vireo,JAVI
Jamaican,Woodpecker,JAWO
Japanese,Bush-Warbler,JABW
Japanese,Quail,JAQU
Japanese,White-eye,JAWE
Java,Sparrow,JASP
Jet,Antbird,JEAN
Jouanin's,Petrel,JOPE
Juan Fernandez,Petrel,JFPE
Juniper,Titmouse,JUTI
Kakawahie,,KAKA
Kalij,Pheasant,KAPH
Kamao,,KAMA
Kamchatka Leaf,Warbler,KLWA
Kauai,Akialoa,KAAK
Kauai,Amakihi,KAAM
Kauai,Elepaio,KAEL
Kauai,Nukupuu,KANU
Kauai,Oo,KAOO
Keel-billed,Motmot,KBMO
Keel-billed,Toucan,KBTO
Kelp,Gull,KEGU
Kentucky,Warbler,KEWA
Kermadec,Petrel,KEPE
Key West,Quail-Dove,KWQD
Killdeer,,KILL
King,Eider,KIEI
King,Rail,KIRA
King,Vulture,KIVU
Kioea,,KIOE
Kirtland's,Warbler,KIWA
Kittlitz's,Murrelet,KIMU
Kona,Grosbeak,KOGR
La Sagra's,Flycatcher,LSFL
La Selle,Thrush,LSTH
Labrador,Duck,LABD
Ladder-backed,Woodpecker,LBWO
Lanai,Hookbill,LANH
Lance-tailed,Manakin,LATM
Lanceolated,Monklet,LAMO
Lanceolated,Warbler,LANW
Lapland,Longspur,LALO
Large-billed,Seed-Finch,LBSF
Large-billed,Tern,LBTE
Large-footed,Finch,LFFI
Lark,Bunting,LARB
Lark,Sparrow,LASP
Lattice-tailed,Trogon,LTTR
Laughing,Falcon,LAFA
Laughing,Gull,LAGU
Lavender,Waxbill,LAVW
Lawrence's,Goldfinch,LAGO
Laysan,Albatross,LAAL
Laysan,Duck,LAYD
Laysan,Finch,LAFI
Laysan,Honeycreeper,LAYH
Laysan,Rail,LARA
Lazuli,Bunting,LAZB
LeConte's,Sparrow,LCSP
LeConte's,Thrasher,LCTH
Leach's,Storm-Petrel,LESP
Least,Auklet,LEAU
Least,Bittern,LEBI
Least,Flycatcher,LEFL
Least,Grebe,LEGR
Least,Pauraque,LEPA
Least,Sandpiper,LESA
Least,Storm-Petrel,LSTP
Least,Tern,LETE
Lemon-spectacled,Tanager,LSTA
Lesser,Akialoa,LEAK
Lesser Antillean,Bullfinch,LANB
Lesser Antillean,Flycatcher,LAFL
Lesser Antillean,Pewee,LAPE
Lesser Antillean,Saltator,LASA
Lesser Antillean,Swift,LASW
Lesser Antillean,Tanager,LATA
Lesser Black-backed,Gull,LBBG
Lesser,Elaenia,LEEL
Lesser,Frigatebird,LEFR
Lesser,Goldfinch,LEGO
Lesser,Greenlet,LESG
Lesser,Ground-Cuckoo,LEGC
Lesser,Kiskadee,LEKI
Lesser,Koa-Finch,LEKF
Lesser,Nighthawk,LENI
Lesser,Prairie-Chicken,LEPC
Lesser,Redpoll,LERE
Lesser,Roadrunner,LERO
Lesser,Sand-Plover,LSAP
Lesser,Scaup,LESC
Lesser Swallow-tailed,Swift,LSTS
Lesser,Violetear,LEVI
Lesser White-fronted,Goose,LWFG
Lesser,Whitethroat,LEWH
Lesser Yellow-headed,Vulture,LYHV
Lesser,Yellowlegs,LEYE
Lesson's,Motmot,LEMO
Lewis's,Woodpecker,LEWO
Light-mantled,Albatross,LMAL
Lilac-crowned,Parrot,LCPA
Limpkin,,LIMP
Lincoln's,Sparrow,LISP
Lineated,Foliage-gleaner,LIFG
Lineated,Woodpecker,LIWO
Lined,Seedeater,LISE
Little,Bittern,LIBI
Little Blue,Heron,LBHE
Little,Bunting,LIBU
Little,Cuckoo,LITC
Little,Curlew,LICU
Little,Egret,LIEG
Little,Gull,LIGU
Little Ringed,Plover,LRPL
Little,Stint,LIST
Little,Tern,LITE
Little,Tinamou,LITI
Loggerhead,Kingbird,LOKI
Loggerhead,Shrike,LOSH
Long-billed,Curlew,LBCU
Long-billed,Dowitcher,LBDO
Long-billed,Gnatwren,LBGN
Long-billed,Hermit,LBIH
Long-billed,Murrelet,LBMU
Long-billed,Starthroat,LBST
Long-billed,Thrasher,LBTH
Long-eared,Owl,LEOW
Long-tailed,Duck,LTDU
Long-tailed,Jaeger,LTJA
Long-tailed,Manakin,LOTM
Long-tailed,Sabrewing,LTSA
Long-tailed,Silky-flycatcher,LTSF
Long-tailed,Tyrant,LTTY
Long-tailed,Wood-Partridge,LTWP
Long-tailed,Woodcreeper,LTWO
Long-toed,Stint,LTST
Long-winged,Harrier,LWHA
Louisiana,Waterthrush,LOWA
Lovely,Cotinga,LOCO
Lucifer,Hummingbird,LUHU
Lucy's,Warbler,LUWA
MacGillivray's,Warbler,MGWA
Magenta-throated,Woodstar,MTWO
Magnificent,Frigatebird,MAFR
Magnolia,Warbler,MAWA
Maguari,Stork,MAST
Mallard,,MALL
Mangrove,Cuckoo,MACU
Mangrove,Hummingbird,MAHU
Mangrove,Rail,MARA
Mangrove,Swallow,MANS
Mangrove,Vireo,MAVI
Manx,Shearwater,MASH
Marbled,Godwit,MAGO
Marbled,Murrelet,MAMU
Marbled,Wood-Quail,MAWQ
Mariana,Swiftlet,MASW
Markham's,Storm-Petrel,MASP
Maroon-chested Ground,Dove,MCGD
Maroon-fronted,Parrot,MFPA
Marsh,Sandpiper,MASA
Marsh,Wren,MAWR
Martinique,Oriole,MAOR
Masked,Booby,MABO
Masked,Duck,MADU
Masked,Tityra,MATI
Maui,Akepa,MAAK
Maui,Alauahio,MAAL
Maui,Nukupuu,MANU
Maui,Parrotbill,MAPA
Maui-nui,Akialoa,MNAK
McCown's,Longspur,MCLO
McKay's,Bunting,MKBU
Meadow,Pipit,MEPI
Mealy,Parrot,MEAP
Melodious,Blackbird,MEBL
Merlin,,MERL
Mew,Gull,MEGU
Mexican,Chickadee,MECH
Mexican,Hermit,MEHE
Mexican,Jay,MEJA
Mexican,Parrotlet,MEXP
Mexican,Sheartail,MESH
Mexican,Violetear,MEVI
Mexican,Whip-poor-will,MWPW
Mexican,Woodnymph,MEWO
Middendorff's,Grasshopper-Warbler,MIGW
Middle American,Screech-Owl,MASO
Military,Macaw,MIMA
Millerbird,,MILL
Mississippi,Kite,MIKI
Mistle,Thrush,MITH
Mitred,Parakeet,MIPA
Monk,Parakeet,MOPA
Montezuma,Oropendola,MORO
Montezuma,Quail,MONQ
Montserrat,Oriole,MORI
Morelet's,Seedeater,MOSE
Mottled,Duck,MODU
Mottled,Owl,MOOW
Mottled,Petrel,MOPE
Mountain,Bluebird,MOBL
Mountain,Chickadee,MOCH
Mountain,Elaenia,MOEL
Mountain,Plover,MOPL
Mountain,Quail,MOUQ
Mountain,Thrush,MOTH
Mountain,Trogon,MOTR
Mourning,Dove,MODO
Mourning,Warbler,MOWA
Mouse-colored,Tyrannulet,MCTY
Moustached,Antwren,MOAN
Mugimaki,Flycatcher,MUFL
Murphy's,Petrel,MUPE
Muscovy,Duck,MUDU
Mute,Swan,MUSW
Nanday,Parakeet,NAPA
Narcissus,Flycatcher,NAFL
Narrow-billed,Tody,NBTO
Nashville,Warbler,NAWA
Nava's,Wren,NAWR
Nazca,Booby,NABO
Nelson's,Sparrow,NESP
Neotropic,Cormorant,NECO
Newell's,Shearwater,NESH
Nicaraguan,Grackle,NIGR
Nicaraguan,Seed-Finch,NISF
Nightingale,Wren,NIWR
Nihoa,Finch,NIFI
Northern,Barred-Woodcreeper,NOBW
Northern,Beardless-Tyrannulet,NOBT
Northern,Bentbill,NOBE
Northern,Bobwhite,NOBO
Northern,Boobook,NOBB
Northern,Cardinal,NOCA
Northern,Emerald-Toucanet,NOET
Northern,Flicker,NOFL
Northern,Fulmar,NOFU
Northern,Gannet,NOGA
Northern,Goshawk,NOGO
Northern,Harrier,NOHA
Northern Hawk,Owl,NHOW
Northern,Jacana,NOJA
Northern,Lapwing,NOLA
Northern,Mockingbird,NOMO
Northern,Parula,NOPA
Northern,Pintail,NOPI
Northern,Potoo,NORP
Northern,Pygmy-Owl,NOPO
Northern Red,Bishop,NRBI
Northern Rough-winged,Swallow,NRWS
Northern Saw-whet,Owl,NSWO
Northern,Schiffornis,NOSC
Northern,Scrub-Flycatcher,NOSF
Northern,Shoveler,NSHO
Northern,Shrike,NSHR
Northern,Waterthrush,NOWA
Northern,Wheatear,NOWH
Northwestern,Crow,NOCR
Nuttall's,Woodpecker,NUWO
Nutting's,Flycatcher,NUFL
Oahu,Akepa,OAKE
Oahu,Akialoa,OAKI
Oahu,Alauahio,OAAL
Oahu,Amakihi,OAAM
Oahu,Elepaio,OAEL
Oahu,Nukupuu,OANU
Oahu,Oo,OAOO
Oak,Titmouse,OATI
Oaxaca,Sparrow,OASP
Ocellated,Antbird,OCAN
Ocellated,Crake,OCCR
Ocellated,Poorwill,OCPO
Ocellated,Quail,OCQU
Ocellated,Thrasher,OCTH
Ocellated,Turkey,OCTU
Ochraceous,Pewee,OCPE
Ochraceous,Wren,OCWR
Ochre-bellied,Flycatcher,OBFL
Ochre-breasted,Antpitta,OBAN
Oilbird,,OILB
Olivaceous,Flatbill,OLFL
Olivaceous,Piculet,OLPI
Olivaceous,Woodcreeper,OLWO
Olive,Sparrow,OLSP
Olive,Warbler,OLWA
Olive-backed,Euphonia,OBAE
Olive-backed,Pipit,OBPI
Olive-backed,Quail-Dove,OBQD
Olive-capped,Warbler,OCAW
Olive-crowned,Yellowthroat,OCYE
Olive-sided,Flycatcher,OSFL
Olive-striped,Flycatcher,OSTF
Olive-throated,Parakeet,OTPA
Olomao,,OLOM
Omao,,OMAO
One-colored,Becard,OCBE
Orange,Oriole,ORAO
Orange-bellied,Euphonia,OBEE
Orange-billed,Nightingale-Thrush,OBNT
Orange-billed,Sparrow,OBSP
Orange-breasted,Bunting,OBBU
Orange-breasted,Falcon,OBFA
Orange-cheeked,Waxbill,OCHW
Orange-chinned,Parakeet,OCPA
Orange-collared,Manakin,OCMA
Orange-crowned,Oriole,OCOR
Orange-crowned,Warbler,OCWA
Orange-fronted,Parakeet,OFPA
Orangequit,,ORAN
Orchard,Oriole,OROR
Oriental,Cuckoo,ORCU
Oriental,Greenfinch,ORGR
Oriental,Plover,ORPL
Oriental,Pratincole,ORPR
Oriental,Scops-Owl,ORSO
Oriental,Turtle-Dove,ORTD
Oriente,Warbler,ORWA
Orinoco,Goose,ORGO
Ornate,Hawk-Eagle,ORHE
Osprey,,OSPR
Ou,,OU
Ovenbird,,OVEN
Pacific,Antwren,PAAN
Pacific,Golden-Plover,PAGP
Pacific,Loon,PALO
Pacific,Parakeet,PACP
Pacific,Screech-Owl,PASO
Pacific,Wren,PAWR
Pacific-slope,Flycatcher,PSFL
Paint-billed,Crake,PBCR
Painted,Bunting,PABU
Painted,Parakeet,PAIP
Painted,Redstart,PARE
Pale-bellied,Hermit,PBHE
Pale-billed,Woodpecker,PBIW
Pale-breasted,Spinetail,PBSP
Pale-eyed,Pygmy-Tyrant,PEPT
Pale-vented,Pigeon,PVPI
Pale-vented,Thrush,PVTH
Palila,,PALI
Pallas's,Bunting,PALB
Pallas's Leaf,Warbler,PLEW
Pallas's,Rosefinch,PARO
Palm,Crow,PACR
Palm,Tanager,PATA
Palm,Warbler,PAWA
Palmchat,,PALM
Paltry,Tyrannulet,PATY
Panama,Flycatcher,PAFL
Parakeet,Auklet,PAAU
Parasitic,Jaeger,PAJA
Parkinson's,Petrel,PAPE
Passenger,Pigeon,PAPI
Pearl,Kite,PEKI
Pearly-breasted,Cuckoo,PBCU
Pearly-eyed,Thrasher,PETH
Pechora,Pipit,PEPI
Pectoral,Sandpiper,PESA
Peg-billed,Finch,PBFI
Pelagic,Cormorant,PECO
Peregrine,Falcon,PEFA
Peruvian,Booby,PEBO
Phainopepla,,PHAI
Pheasant,Cuckoo,PHCU
Philadelphia,Vireo,PHVI
Pied,Puffbird,PIPU
Pied,Water-Tyrant,PIWT
Pied,Wheatear,PIWH
Pied-billed,Grebe,PBGR
Pigeon,Guillemot,PIGU
Pileated,Flycatcher,PILF
Pileated,Woodpecker,PIWO
Pin-tailed,Snipe,PTSN
Pin-tailed,Whydah,PTWH
Pine,Bunting,PIBU
Pine,Flycatcher,PINF
Pine,Grosbeak,PIGR
Pine,Siskin,PISI
Pine,Warbler,PIWA
Pink-footed,Goose,PFGO
Pink-footed,Shearwater,PFSH
Pink-headed,Warbler,PHWA
Pinnated,Bittern,PIBI
Pinyon,Jay,PIJA
Piping,Plover,PIPL
Piratic,Flycatcher,PIRF
Pirre,Chlorospingus,PICH
Pirre,Hummingbird,PIHU
Pirre,Warbler,PIRW
Plain,Antvireo,PLAN
Plain,Chachalaca,PLCH
Plain,Pigeon,PLAP
Plain,Xenops,PLXE
Plain-breasted Ground,Dove,PBGD
Plain-brown,Woodcreeper,PBRW
Plain-capped,Starthroat,PCST
Plain-colored,Tanager,PCTA
Plumbeous,Hawk,PLHA
Plumbeous,Kite,PLKI
Plumbeous,Pigeon,PLUP
Plumbeous,Vireo,PLVI
Plumbeous,Warbler,PLUW
Pomarine,Jaeger,POJA
Poo-uli,,POUL
Prairie,Falcon,PRFA
Prairie,Warbler,PRAW
Prong-billed,Barbet,PBBA
Prothonotary,Warbler,PROW
Providence,Petrel,PRPE
Puaiohi,,PUAI
Puerto Rican,Bullfinch,PRBU
Puerto Rican,Emerald,PREM
Puerto Rican,Flycatcher,PRFL
Puerto Rican,Lizard-Cuckoo,PRLC
Puerto Rican,Nightjar,PRNI
Puerto Rican,Oriole,PROR
Puerto Rican,Parakeet,PRPK
Puerto Rican,Parrot,PRPO
Puerto Rican,Screech-Owl,PRSO
Puerto Rican,Spindalis,PRSP
Puerto Rican,Tanager,PRTA
Puerto Rican,Tody,PRTO
Puerto Rican,Vireo,PRVI
Puerto Rican,Woodpecker,PRWO
Purple,Finch,PUFI
Purple,Gallinule,PUGA
Purple,Heron,PUHE
Purple,Honeycreeper,PUHO
Purple,Martin,PUMA
Purple,Sandpiper,PUSA
Purple,Swamphen,PUSW
Purple-crowned,Fairy,PCFA
Purple-throated,Carib,PTCA
Purple-throated,Fruitcrow,PTFR
Purple-throated,Mountain-gem,PTMG
Purple-throated,Woodstar,PTWO
Purplish-backed,Jay,PBJA
Purplish-backed,Quail-Dove,PBQD
Pygmy,Nuthatch,PYNU
Pyrrhuloxia,,PYRR
Razorbill,,RAZO
Red,Avadavat,REAV
Red,Crossbill,RECR
Red,Junglefowl,REJU
Red,Knot,REKN
Red,Phalarope,REPH
Red,Siskin,RESI
Red,Warbler,REWA
Red-and-green,Macaw,RAGM
Red-bellied,Woodpecker,RBWO
Red-billed,Leiothrix,RBLE
Red-billed,Pigeon,RBPI
Red-billed,Scythebill,RBSC
Red-billed,Tropicbird,RBTR
Red-breasted,Chat,RBRC
Red-breasted,Meadowlark,RBRM
Red-breasted,Merganser,RBME
Red-breasted,Nuthatch,RBNU
Red-breasted,Sapsucker,RBSA
Red-capped,Manakin,RCMA
Red-cheeked,Cordonbleu,RCCO
Red-cockaded,Woodpecker,RCWO
Red-crested,Cardinal,RCCA
Red-crowned,Ant-Tanager,RCAT
Red-crowned,Parrot,RCPA
Red-crowned,Woodpecker,RCRW
Red-eyed,Vireo,REVI
Red-faced,Cormorant,RFCO
Red-faced,Spinetail,RFSP
Red-faced,Warbler,RFWA
Red-flanked,Bluetail,RFBL
Red-footed,Booby,RFBO
Red-footed,Falcon,RFFA
Red-fronted,Parrotlet,RFPA
Red-headed,Barbet,RHBA
Red-headed,Tanager,RHTA
Red-headed,Woodpecker,RHWO
Red-legged,Honeycreeper,RLHO
Red-legged,Kittiwake,RLKI
Red-legged,Thrush,RLTH
Red-lored,Parrot,RLPA
Red-naped,Sapsucker,RNSA
Red-necked,Grebe,RNGR
Red-necked,Parrot,RNPA
Red-necked,Phalarope,RNPH
Red-necked,Stint,RNST
Red-rumped,Woodpecker,RRWO
Red-shouldered,Blackbird,RSBL
Red-shouldered,Hawk,RSHA
Red-tailed,Hawk,RTHA
Red-tailed,Tropicbird,RTTR
Red-throated,Ant-Tanager,RTAT
Red-throated,Caracara,RTCA
Red-throated,Loon,RTLO
Red-throated,Pipit,RTPI
Red-vented,Bulbul,RVBU
Red-whiskered,Bulbul,RWBU
Red-winged,Blackbird,RWBL
Reddish,Egret,REEG
Redhead,,REDH
Redwing,,REDW
Reed,Bunting,REBU
Resplendent,Quetzal,REQU
Rhinoceros,Auklet,RHAU
Ridgway's,Hawk,RIHA
Ridgway's,Rail,RIRA
Ring-billed,Gull,RBGU
Ring-necked,Duck,RNDU
Ring-necked,Pheasant,RNEP
Ring-tailed,Pigeon,RTAP
Ringed,Kingfisher,RIKI
Ringed,Storm-Petrel,RISP
River,Warbler,RIWA
Riverside,Wren,RIWR
Rivoli's,Hummingbird,RIHU
Roadside,Hawk,ROHA
Rock,Pigeon,ROPI
Rock,Ptarmigan,ROPT
Rock,Sandpiper,ROSA
Rock,Wren,ROWR
Rook,,ROOK
Rose-bellied,Bunting,RBBU
Rose-breasted,Grosbeak,RBGR
Rose-ringed,Parakeet,RRPA
Rose-throated,Becard,RTBE
Rose-throated,Tanager,RTTA
Roseate,Spoonbill,ROSP
Roseate,Tern,ROST
Ross's,Goose,ROGO
Ross's,Gull,ROGU
Rosy,Thrush-Tanager,ROTT
Rosy-faced,Lovebird,RFLO
Rough-legged,Hawk,RLHA
Rough-legged,Tyrannulet,RLTY
Royal,Flycatcher,ROFL
Royal,Tern,ROYT
Ruby-crowned,Kinglet,RCKI
Ruby-throated,Hummingbird,RTHU
Ruby-topaz,Hummingbird,RTOH
Ruddy,Crake,RUCR
Ruddy,Duck,RUDU
Ruddy,Foliage-gleaner,RUFG
Ruddy Ground,Dove,RGDO
Ruddy,Pigeon,RUDP
Ruddy,Quail-Dove,RUQD
Ruddy,Shelduck,RUSH
Ruddy,Treerunner,RUTR
Ruddy,Turnstone,RUTU
Ruddy,Woodcreeper,RUWO
Ruddy-breasted,Seedeater,RBSE
Ruddy-capped,Nightingale-Thrush,RCNT
Ruddy-tailed,Flycatcher,RDTF
Rufescent,Tiger-Heron,RTHE
Ruff,,RUFF
Ruffed,Grouse,RUGR
Rufous,Hummingbird,RUHU
Rufous,Motmot,RMOT
Rufous,Mourner,RMOU
Rufous,Nightjar,RUNI
Rufous,Piha,RUFP
Rufous,Sabrewing,RUSA
Rufous-and-white,Wren,RAWW
Rufous-backed,Robin,RBRO
Rufous-bellied,Chachalaca,RBEC
Rufous-breasted,Antthrush,RBAN
Rufous-breasted,Hermit,RBHE
Rufous-breasted,Spinetail,RBSP
Rufous-breasted,Wren,RBSW
Rufous-browed,Peppershrike,RBPE
Rufous-browed,Tyrannulet,RBTY
Rufous-browed,Wren,RBWW
Rufous-capped,Brushfinch,RCBR
Rufous-capped,Warbler,RCWA
Rufous-collared,Robin,RCRO
Rufous-collared,Sparrow,RCOS
Rufous-crested,Coquette,RCRC
Rufous-crowned,Sparrow,RCSP
Rufous-naped,Wren,RNAW
Rufous-necked,Wood-Rail,RNWR
Rufous-rumped,Antwren,RRAN
Rufous-tailed,Flycatcher,RFTF
Rufous-tailed,Hummingbird,RTAH
Rufous-tailed,Jacamar,RTJA
Rufous-tailed,Robin,RTRO
Rufous-throated,Solitaire,RTSO
Rufous-vented,Chachalaca,RVCH
Rufous-vented,Ground-Cuckoo,RVGC
Rufous-winged,Antwren,RWAN
Rufous-winged,Sparrow,RWSP
Rufous-winged,Tanager,RWTA
Rufous-winged,Woodpecker,RWWO
Russet,Antshrike,RUAN
Russet,Nightingale-Thrush,RUNT
Russet-crowned,Motmot,RCMO
Russet-crowned,Quail-Dove,RCQD
Russet-naped,Wood-Rail,RSWR
Russet-winged,Schiffornis,RWSC
Rustic,Bunting,RUBU
Rusty,Blackbird,RUBL
Rusty,Sparrow,RUSP
Rusty-crowned,Ground-Sparrow,RCGS
Rusty-margined,Flycatcher,RMFL
Sabine's,Gull,SAGU
Sad,Flycatcher,SAFL
Saffron,Finch,SAFI
Saffron-headed,Parrot,SHPA
Sage,Thrasher,SATH
Sagebrush,Sparrow,SABS
Saltmarsh,Sparrow,SALS
Salvin's,Albatross,SAAL
San Andres,Vireo,SAVI
San Blas,Jay,SBJA
Sanderling,,SAND
Sandhill,Crane,SACR
Sandwich,Tern,SATE
Sapayoa,,SAPA
Sapphire-throated,Hummingbird,SHTH
Savanna,Hawk,SAHA
Savannah,Sparrow,SAVS
Say's,Phoebe,SAPH
Scale-crested,Pygmy-Tyrant,SCPT
Scaled,Antpitta,SCAA
Scaled,Pigeon,SCPI
Scaled,Quail,SCQU
Scaly-breasted,Hummingbird,SBRH
Scaly-breasted,Munia,SBMU
Scaly-breasted,Thrasher,SBTH
Scaly-breasted,Wren,SCBW
Scaly-naped,Pigeon,SNPI
Scaly-throated,Foliage-gleaner,STFG
Scaly-throated,Leaftosser,STLE
Scarlet,Ibis,SCIB
Scarlet,Macaw,SCMA
Scarlet,Tanager,SCTA
Scarlet-browed,Tanager,SBTA
Scarlet-rumped,Cacique,SRCA
Scarlet-rumped,Tanager,SCRT
Scarlet-thighed,Dacnis,STDA
Scintillant,Hummingbird,SCHU
Scissor-tailed,Flycatcher,STFL
Scott's,Oriole,SCOR
Scripps's,Murrelet,SCMU
Scrub,Euphonia,SEUP
Scrub,Greenlet,SCRG
Seaside,Sparrow,SESP
Sedge,Warbler,SEWA
Sedge,Wren,SEWR
Semipalmated,Plover,SEPL
Semipalmated,Sandpiper,SESA
Semiplumbeous,Hawk,SEHA
Semper's,Warbler,SEMW
Sepia-capped,Flycatcher,SECF
Sharp-shinned,Hawk,SSHA
Sharp-tailed,Grouse,STGR
Sharp-tailed,Sandpiper,SPTS
Sharp-tailed,Streamcreeper,STST
Sharpbill,,SHAR
Shining,Honeycreeper,SHHO
Shiny,Cowbird,SHCO
Short-billed,Dowitcher,SBDO
Short-billed,Pigeon,SBPI
Short-crested,Coquette,SCCO
Short-eared,Owl,SEOW
Short-tailed,Albatross,STAL
Short-tailed,Hawk,STHA
Short-tailed,Nighthawk,SHTN
Short-tailed,Shearwater,STTS
Short-tailed,Swift,STSW
Siberian,Accentor,SIAC
Siberian Blue,Robin,SBRO
Siberian,Rubythroat,SIRU
Sick's,Swift,SISW
Sierra Madre,Sparrow,SMSP
Silver-throated,Tanager,STTA
Silvery-fronted,Tapaculo,SFTA
Silvery-throated,Jay,STHJ
Sinaloa,Crow,SICR
Sinaloa,Martin,SIMA
Sinaloa,Wren,SIWR
Singing,Quail,SIQU
Slate-colored,Grosbeak,SCOG
Slate-colored,Seedeater,SCSE
Slate-colored,Solitaire,SCSO
Slate-headed,Tody-Flycatcher,SHTF
Slate-throated,Gnatcatcher,STGN
Slate-throated,Redstart,STRE
Slaty,Antwren,SLAN
Slaty,Finch,SLFI
Slaty,Flowerpiercer,SLFL
Slaty,Spinetail,SLSP
Slaty,Vireo,SLVI
Slaty-backed,Forest-Falcon,SBFF
Slaty-backed,Gull,SBGU
Slaty-backed,Nightingale-Thrush,SBNT
Slaty-breasted,Tinamou,SBTI
Slaty-capped,Flycatcher,SLCF
Slaty-tailed,Trogon,STTR
Slaty-winged,Foliage-gleaner,SWFG
Slender,Sheartail,SLSH
Slender-billed,Curlew,SBCU
Slender-billed,Grackle,SBGR
Slender-billed,Kite,SBKI
Smew,,SMEW
Smith's,Longspur,SMLO
Smoky-brown,Woodpecker,SMBW
Smooth-billed,Ani,SBAN
Snail,Kite,SNKI
Snow,Bunting,SNBU
Snow,Goose,SNGO
Snowcap,,SNOC
Snowy,Cotinga,SNCO
Snowy,Egret,SNEG
Snowy,Owl,SNOW
Snowy,Plover,SNPL
Snowy-bellied,Hummingbird,SBEH
Social,Flycatcher,SOFL
Socorro,Dove,SODO
Socorro,Mockingbird,SOMO
Socorro,Parakeet,SOPA
Socorro,Wren,SOCW
Solitary,Eagle,SOEA
Solitary,Sandpiper,SOSA
Solitary,Snipe,SOSN
Song,Sparrow,SOSP
Song,Thrush,SOTH
Song,Wren,SONW
Sooty,Grouse,SOGR
Sooty,Shearwater,SOSH
Sooty,Tern,SOTE
Sooty,Thrush,SOOT
Sooty-capped,Chlorospingus,SCCH
Sooty-faced,Finch,SFFI
